0;0;0;0;land;false;unknown;0
1;246;154;147;land;false;hills;1
2;201;87;216;land;false;hills;1
3;242;230;160;land;false;plains;1
4;149;249;110;land;false;plains;1
5;191;112;222;land;true;plains;1
6;154;243;118;land;false;plains;1
7;143;201;242;land;false;plains;1
8;166;147;190;land;false;hills;1
9;121;246;253;land;false;mountain;1
10;160;202;207;land;false;plains;1
11;221;206;158;land;false;plains;1
12;120;216;236;land;false;forest;1
13;250;47;227;land;false;plains;1
14;233;154;153;land;false;plains;1
15;161;186;199;land;false;plains;1
16;227;195;169;land;false;hills;1
17;159;252;109;land;false;plains;1
18;166;227;157;land;false;plains;1
19;90;193;222;land;false;forest;1
20;76;197;234;land;false;hills;1
21;231;199;150;land;true;plains;1
22;204;234;88;land;false;plains;1
23;185;246;122;land;false;plains;1
24;193;213;161;land;false;hills;1
25;139;210;226;land;true;plains;1
26;201;182;138;land;false;plains;1
27;221;183;159;land;false;plains;1
28;143;174;233;land;true;forest;1
29;192;153;187;land;false;forest;1
30;191;247;108;land;false;hills;1
31;252;160;176;land;true;plains;1
32;137;213;162;land;false;plains;1
33;205;201;229;land;false;hills;1
34;176;241;84;land;true;plains;1
35;121;234;175;land;false;hills;1
36;173;87;241;land;false;plains;1
37;229;142;191;land;false;mountain;1
38;164;218;159;land;false;plains;1
39;125;240;251;land;false;jungle;1
40;228;157;185;land;false;plains;1
41;188;169;174;land;false;desert;1
42;217;216;229;land;false;plains;1
43;116;218;243;land;true;plains;1
44;210;163;210;land;false;plains;1
45;178;215;155;land;false;forest;1
46;157;194;190;land;false;jungle;1
47;235;219;239;land;false;hills;1
48;194;237;141;land;false;plains;1
49;245;219;174;land;false;hills;1
50;179;165;182;land;false;hills;1
51;168;228;180;land;false;hills;1
52;188;155;237;land;false;plains;1
53;185;249;188;land;true;plains;1
54;144;146;251;land;false;plains;1
55;234;104;246;land;false;plains;1
56;209;224;94;land;false;mountain;1
57;108;211;220;land;false;plains;1
58;233;98;173;land;true;plains;1
59;186;220;165;land;false;hills;1
60;240;218;248;land;false;plains;1
61;242;86;218;land;false;plains;1
62;184;176;229;land;false;forest;1
63;180;213;165;land;false;forest;1
64;232;204;246;land;true;plains;1
65;234;82;226;land;false;forest;1
66;118;249;183;land;true;plains;1
67;216;226;250;land;false;plains;1
68;148;189;195;land;false;mountain;1
